Identifiant de l'accident;Date et heure;Commune;Année;Mois;Jour;Heure minute;Lumière;Localisation;Intersection;Conditions atmosphériques;Collision;Département;Code commune;Code Insee;Adresse;Latitude;Longitude;Code Postal;Numéro;Coordonnées;PR;Surface;V1;Circulation;Voie réservée;Env1;Voie;Largeur de la chaussée;V2;Largeur terre plein central;Nombre de voies;Catégorie route;PR1;Plan;Profil;Infrastructure;Situation;Année de naissance;Sexe;Action piéton;Gravité;Existence équipement de sécurité;Utilisation équipement de sécurité;Localisation du piéton;Identifiant véhicule;Place;Catégorie d'usager;Piéton seul ou non;Motif trajet;Point de choc;Manœuvre;Sens;Obstacle mobile heurté;Obstacle fixe heurté;Catégorie véhicule;Nombre d'occupants;Gps
201500024826;2015-04-29T17:43:00+02:00;Rennes;15;04;29;17:43;Plein jour;Hors agglomération;Hors intersection;Normale;Trois véhicules et plus – en chaîne;35;238;35238;RN 137;4808970;-168563;35000;137;48.100043, -1.669884;12;mouillée;;A chaussées séparées;Voie réservée;99;2;0;;0;3;Route Départementale;900;Partie rectiligne;Plat;;Sur chaussée;1993,1981,1979,1995;Masculin,Masculin,Masculin,Masculin;Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant;Blessé,Indemne,Indemne,Blessé;Ceinture,Ceinture,Ceinture,Ceinture;Oui,Oui,Oui,Oui;;A01,C01,B01;1,1,1,2;Conducteur,Conducteur,Conducteur,Passager;;Domicile – travail,Promenade – loisirs,Utilisation professionnelle,Promenade – loisirs;Avant droit,Avant droit;Déporté A droite,Sans changement de direction,Sans changement de direction;;Véhicule,Véhicule,Véhicule;;VU seul 1,VL seul,VL seul;;Métropole
201500024866;2015-06-05T12:45:00+02:00;Rennes;15;06;05;12:45;Plein jour;En agglomération;Hors intersection;Normale;Deux véhicules – par l’arrière;35;238;35238;199, VERN (DE);4808873;-164466;35000;199;48.088783, -1.644572;;normale;;;;00;0;0;;0;0;Voie Communale;;Partie rectiligne;Plat;;;1979,1969;Féminin,Féminin;Se déplaçant,Se déplaçant;Blessé,Indemne;Ceinture,Ceinture;Oui,Oui;;A01,B01;1,1;Conducteur,Conducteur;;;Avant,Arrière;Sans changement de direction,Sans changement de direction;;Véhicule;;VL seul,VL seul;;Métropole
201500024891;2015-06-17T18:30:00+02:00;Rennes;15;06;17;18:30;Plein jour;En agglomération;Intersection en X;Normale;Deux véhicules – par le coté;35;238;35238;00, ANTRAIN (D') DE 0 A;4811822;-167633;35000;00;48.118818, -1.674864;;;;Bidirectionnelle;;00;0;0;;0;2;Voie Communale;;;;;Sur chaussée;1981,1993;Masculin,Masculin;Se déplaçant,Se déplaçant;Blessé,Indemne;Casque,Casque;Oui,Oui;;A01,B01;1,1;Conducteur,Conducteur;;Domicile – travail,Utilisation professionnelle;Côté droit,Avant;Sans changement de direction;;Véhicule,Véhicule;;Scooter < 50 cm3,Bicyclette;;Métropole
201500024893;2015-03-30T00:40:00+02:00;Rennes;15;03;30;00:40;Nuit avec éclairage public allumé;En agglomération;Intersection à plus de 4 branches;Pluie légère;Autre collision;35;238;35238;CARREFOUR NITSCH;4810180;-168441;35000;;48.10189, -1.683568;;mouillée;;Bidirectionnelle;Voie réservée;99;;70;;40;2;Voie Communale;;En courbe à droite;Sommet de côte;Pont - autopont;Sur chaussée;1992;Féminin;Se déplaçant;Blessé;Ceinture;Non;;A01;1;Conducteur;;Promenade – loisirs;Avant;Sans changement de direction;;;Bâtiment;VL seul;;Métropole
201500024900;2015-06-23T17:50:00+02:00;Saint-gregoire;15;06;23;17:50;Plein jour;Hors agglomération;Hors intersection;Normale;Deux véhicules – par l’arrière;35;278;35278;RD 137;4814722;-169903;35760;137;48.1594, -1.690674;52;normale;;A chaussées séparées;;99;137;0;;0;0;Route Départementale;750;Partie rectiligne;Plat;;Sur chaussée;1955,1971;Féminin,Féminin;Se déplaçant,Se déplaçant;Blessé,Blessé;Ceinture,Ceinture;Oui,Oui;;A01,B01;1,1;Conducteur,Conducteur;;Autre;Avant,Arrière;Même sens,Même sens;;Véhicule,Véhicule;;VL seul,VL seul;;Métropole
201500024926;2015-07-09T13:45:00+02:00;Chantepie;15;07;09;13:45;Plein jour;En agglomération;Giratoire;Normale;Deux véhicules – par l’arrière;35;055;35055;00, PARC (RUE DU);4808807;-160834;35135;00;48.088164, -1.611704;12;normale;;Bidirectionnelle;;99;286;0;;0;2;Route Départementale;654;Partie rectiligne;Plat;Carrefour aménagé;Sur chaussée;2004,1989;Masculin,Masculin;Se déplaçant,Se déplaçant;Blessé,Indemne;Casque,Ceinture;Non,Oui;;B01,A01;1,1;Conducteur,Conducteur;;Promenade – loisirs,Domicile – travail;Arrière gauche,Avant;Sans changement de direction;;Véhicule,Véhicule;;Bicyclette,VL seul;;Métropole
201500024940;2015-07-23T10:50:00+02:00;Chantepie;15;07;23;10:50;Plein jour;Hors agglomération;Giratoire;Normale;Deux véhicules – par le coté;35;055;35055;00, LA HALLERAIS (LIEU D;4807782;-163225;35135;00;48.073032, -1.629663;33;normale;;A chaussées séparées;;99;163;0;;0;2;Route Départementale;95;Partie rectiligne;Plat;Carrefour aménagé;Sur chaussée;1991,1976;Masculin,Féminin;Se déplaçant,Se déplaçant;Indemne,Blessé;Ceinture,Ceinture;Oui,Oui;;A01,B01;1,1;Conducteur,Conducteur;;Utilisation professionnelle,Promenade – loisirs;Avant droit,Arrière gauche;Déporté A droite,Tournant A gauche;;Véhicule,Véhicule;;Tracteur routier + semi-remorque,VL seul;;Métropole
201500025087;2015-11-06T16:50:00+01:00;Rennes;15;11;06;16:50;Plein jour;En agglomération;Intersection en X;Normale;Deux véhicules - frontale;35;238;35238;00, CHATEAUGIRON (DE);4809488;-163795;35000;00;48.099655, -1.649027;;normale;;Bidirectionnelle;Banque cyclable;99;0;0;;0;2;Voie Communale;;Partie rectiligne;Plat;Carrefour aménagé;Sur chaussée;1997,1987;Masculin,Masculin;Se déplaçant,Se déplaçant;Blessé,Indemne;Ceinture,Ceinture;Oui,Oui;;B01,A01;1,1;Conducteur,Conducteur;;;Avant;Sans changement de direction;;Véhicule,Véhicule;;VL seul,VL seul;;Métropole
201500025131;2015-12-04T04:10:00+01:00;Cesson-sevigne;15;12;04;04:10;Nuit sans éclairage public;Hors agglomération;Hors intersection;Pluie légère;Sans collision;35;051;35051;NORMANDIE (PORTE DE);4814823;-159696;35510;;48.140179, -1.598291;96;mouillée;;A chaussées séparées;;99;84;0;;0;0;Autoroute;600;En courbe à droite;Plat;Bretelle d’échangeur ou de raccordement;Sur chaussée;1985;Masculin;Se déplaçant;Blessé;Ceinture;Oui;;A01;1;Conducteur;;Autre;Chocs multiples (tonneaux);Sans changement de direction;;;Sortie de chaussée sans obstacle;VL seul;;Métropole
201500025140;2015-11-30T17:00:00+01:00;Rennes;15;11;30;17:00;Plein jour;Hors agglomération;Hors intersection;Normale;Trois véhicules et plus - collisions multiples;35;238;35238;00, PORTE DES LOGES;4808956;-163142;35000;00;48.108853, -1.670052;5;normale;;A chaussées séparées;Voie réservée;99;136;0;;0;2;Route Nationale;550;Partie rectiligne;Plat;Bretelle d’échangeur ou de raccordement;Sur chaussée;1978,1976,1957;Masculin,Masculin,Masculin;Se déplaçant,Se déplaçant,Se déplaçant;Indemne,Blessé,Indemne;Ceinture,Ceinture,Ceinture;Oui,Oui,Oui;;A01,B01,C01;1,1,1;Conducteur,Conducteur,Conducteur;;Utilisation professionnelle;Arrière;Changeant de file A droite;;Véhicule,Véhicule,Véhicule;Glissière métallique;PL > 3,VL seul,VL seul;;Métropole
201500025166;2015-12-19T17:15:00+01:00;Rennes;15;12;19;17:15;Crépuscule ou aube;En agglomération;Hors intersection;Temps couvert;Autre collision;35;238;35238;00, GROS MALHON (AVENUE);4813033;-168439;35000;00;48.124757, -1.682316;;normale;;;;99;0;0;;0;2;Voie Communale;;Partie rectiligne;Plat;;Sur accotement;1940,1938;Féminin,Masculin;Autre,Se déplaçant;Blessé,Indemne;Ceinture;Oui;Sur trottoir;A01;1;Piéton,Conducteur;Seul;Promenade – loisirs,Promenade – loisirs;Côté droit;Sans changement de direction;;Piéton;;VL seul;;Métropole
201500025169;2015-12-22T17:30:00+01:00;Saint-gregoire;15;12;22;17:30;Plein jour;Hors agglomération;Hors intersection;Normale;Deux véhicules – par l’arrière;35;278;35278;00, R.N. 136;4814201;-164492;35760;00;48.134654, -1.692301;22;mouillée;;A chaussées séparées;;99;136;0;;0;4;Route Nationale;400;Partie rectiligne;Plat;;Sur chaussée;1992,1951;Masculin,Féminin;Se déplaçant,Se déplaçant;Blessé,Indemne;Casque,Ceinture;Oui,Oui;;A01,B01;1,1;Conducteur,Conducteur;;Promenade – loisirs;Arrière,Avant;Déporté A gauche,Dépassant A gauche;;Véhicule,Véhicule;;VL seul,Motocyclette > 125 cm3;;Métropole
201500025172;2015-12-15T15:30:00+01:00;Rennes;15;12;15;15:30;Plein jour;En agglomération;Hors intersection;Normale;Deux véhicules – par le coté;35;238;35238;00, VILLEBOIS MAREUIL (B;4810731;-165114;35000;00;48.104872, -1.651102;;mouillée;;Bidirectionnelle;Banque cyclable;99;4;0;;0;2;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;1990,1939;Féminin,Masculin;Se déplaçant,Se déplaçant;Indemne,Blessé;Ceinture,Ceinture;Oui,Oui;;B01,A01;1,1;Conducteur,Conducteur;;Autre,Promenade – loisirs;Avant droit,Avant droit;;;Véhicule,Véhicule;Bordure de trottoir;VL seul,VL seul;;Métropole
201500025173;2015-12-23T10:30:00+01:00;Rennes;15;12;23;10:30;Plein jour;En agglomération;Intersection en X;Normale;Deux véhicules – par le coté;35;238;35238;00, DUVAL (ALEXANDRE);4810356;-169401;35000;00;48.103676, -1.695263;;normale;;Bidirectionnelle;Banque cyclable;99;0;0;;0;2;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;1980,1954;Masculin,Masculin;Se déplaçant,Se déplaçant;Blessé,Blessé;Ceinture,Ceinture;Oui,Oui;;A01,B01;1,1;Conducteur,Conducteur;;Autre,Utilisation professionnelle;Avant,Arrière gauche;Sans changement de direction,Sans changement de direction;;Véhicule,Véhicule;;VU seul 1,Autobus;1;Métropole
201500025002;2015-09-06T18:30:00+02:00;Cesson-sevigne;15;09;06;18:30;Plein jour;En agglomération;Intersection en T;Normale;Deux véhicules – par le coté;35;051;35051;00, CHATAIGNERAIE (RUE D;4812128;-163016;35510;00;48.120148, -1.629229;1;normale;;Bidirectionnelle;;00;197;0;;0;2;Route Départementale;407;En courbe à droite;Pente;;Sur chaussée;1972,1988;Masculin,Masculin;Se déplaçant,Se déplaçant;Blessé,Indemne;Casque,Ceinture;Oui,Oui;;A01,B01;1,1;Conducteur,Conducteur;;;Avant droit,Avant;Tournant A gauche,Sans changement de direction;;Véhicule,Véhicule;;VL seul,Motocyclette > 125 cm3;;Métropole
201500025021;2015-09-22T08:30:00+02:00;Rennes;15;09;22;08:30;Plein jour;En agglomération;Intersection en T;Temps couvert;Deux véhicules - frontale;35;238;35238;135, FOUGERES (RUE DE);4812072;-166470;35000;135;48.120724, -1.664858;;mouillée;;Bidirectionnelle;;99;0;0;;0;2;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;1963,1976;Féminin,Féminin;Se déplaçant,Se déplaçant;Blessé,Indemne;Ceinture,Ceinture;Oui,Oui;;A01,B01;1,1;Conducteur,Conducteur;;;;;;;;VL seul,VL seul;;Métropole
201500025084;2015-11-05T18:45:00+01:00;Cesson-sevigne;15;11;05;18:45;Nuit avec éclairage public allumé;Hors agglomération;Hors intersection;Normale;Trois véhicules et plus – en chaîne;35;051;35051;00, DOMLOUP (ROUTE DE);4811028;-158461;35510;00;48.108222, -1.579563;;normale;;Bidirectionnelle;;99;0;70;;0;2;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;1982,1980,1992,1992;Féminin,Masculin,Masculin,Féminin;Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant;Blessé,Indemne,Indemne,Indemne;Ceinture,Ceinture,Ceinture,Ceinture;Oui,Oui,Oui,Oui;;A01,B01,C01;2,1,1,1;Passager,Conducteur,Conducteur,Conducteur;;Autre,Autre,Domicile – travail,Autre;Avant,Arrière,Arrière;Même sens,Même sens,Même sens;;Véhicule,Véhicule,Véhicule;;VL seul,VL seul,VL seul;;Métropole
201500024739;2015-01-13T18:30:00+01:00;Rennes;15;01;13;18:30;Nuit avec éclairage public allumé;En agglomération;Intersection en T;Normale;Trois véhicules et plus - collisions multiples;35;238;35238;ANJOU/GASCOGNE;4812200;-171344;35000;;48.121907, -1.715484;;normale;;Bidirectionnelle;;99;;0;;0;2;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;1963,1991;Féminin,Masculin;Se déplaçant,Se déplaçant;Blessé,Indemne;Ceinture,Ceinture;Non déterminable,Non déterminable;;B01,C01,A01;1,1;Conducteur,Conducteur;;Utilisation professionnelle;Avant gauche,Avant,Avant;Sans changement de direction,Sans changement de direction,Tournant A gauche;PK ou PR ou numéro d’adresse postale décroissant;Véhicule,Véhicule,Véhicule;;VL seul,VL seul,VL seul;;Métropole
201500024750;2015-01-20T09:00:00+01:00;Cesson-sevigne;15;01;20;09:00;Plein jour;En agglomération;Hors intersection;Normale;Trois véhicules et plus - collisions multiples;35;051;35051;00, RD96;4812745;-162670;35510;00;48.125655, -1.607672;2;normale;;Bidirectionnelle;Piste cyclable;99;96;0;;0;2;Route Départementale;0;Partie rectiligne;Plat;;Sur chaussée;1981,1988,1988,1973,1989;Masculin,Féminin,Masculin,Masculin,Masculin;Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant;Indemne,Blessé,Blessé,Indemne,Indemne;Ceinture,Ceinture,Ceinture,Ceinture,Ceinture;Non déterminable,Oui,Non déterminable,Non déterminable,Non déterminable;;D01,C01,A01,B01;1,2,1,1,1;Conducteur,Passager,Conducteur,Conducteur,Conducteur;;Domicile – travail,Domicile – travail;Arrière gauche,Avant,Arrière,Avant;Sans changement de direction,Sans changement de direction,En faisant demi-tour sur la chaussée,Sans changement de direction;;Véhicule,Véhicule,Véhicule,Véhicule;;VL seul,VL seul,VL seul,VL seul;;Métropole
201500024787;2015-04-03T21:40:00+02:00;Rennes;15;04;03;21:40;Nuit avec éclairage public allumé;En agglomération;Intersection en Y;Pluie légère;Deux véhicules – par le coté;35;238;35238;TILLON (AVENUE CHARLES);4812453;-170991;35000;;48.125775, -1.697054;;mouillée;;;;00;0;0;;0;1;Voie Communale;;;Plat;;;1969,1989;Féminin,Masculin;Se déplaçant,Se déplaçant;Blessé,Indemne;Ceinture,Ceinture;Oui,Oui;;A01,B01;1,1;Conducteur,Conducteur;;;;;;;;VL seul,VL seul;;Métropole
201500024792;2015-04-08T19:20:00+02:00;Rennes;15;04;08;19:20;Plein jour;En agglomération;Hors intersection;Normale;Autre collision;35;238;35238;BRETAGNE (PLACE DE);4810935;-168382;35000;;48.109274, -1.684044;;normale;;A sens unique;;00;0;0;;0;0;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;1990,1984;Féminin,Masculin;Se déplaçant,Traversant;Indemne,Blessé;Ceinture;Oui;Sur chaussée - A – 50 m du passage piéton;A01;1;Conducteur,Piéton;Seul;;Avant;;;Piéton;;VL seul;;Métropole
201500024807;2015-04-18T19:45:00+02:00;Rennes;15;04;18;19:45;Plein jour;En agglomération;Hors intersection;Normale;Deux véhicules – par le coté;35;238;35238;275, CHATEAUGIRON (DE);4809229;-162930;35000;275;48.099655, -1.649027;;normale;;Bidirectionnelle;;99;0;0;;0;2;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;1995,1977,2012;Masculin,Féminin,Féminin;Se déplaçant,Se déplaçant,Se déplaçant;Indemne,Blessé,Indemne;Ceinture,Ceinture,Dispositif enfants;Oui,Oui,Oui;;A01,B01;1,1,3;Conducteur,Conducteur,Passager;;Promenade – loisirs,Promenade – loisirs,Promenade – loisirs;Côté droit,Arrière droit;Sans changement de direction,Tournant A gauche;;Véhicule,Véhicule;;VL seul,VL seul;;Métropole
201500024813;2015-04-20T19:00:00+02:00;Rennes;15;04;20;19:00;Plein jour;En agglomération;Hors intersection;Normale;Trois véhicules et plus – en chaîne;35;238;35238;MALAKOFF (PONT);4810745;-169308;35000;;48.105967, -1.693243;;normale;;Bidirectionnelle;Banque cyclable;99;0;0;;0;2;Voie Communale;;Partie rectiligne;Plat;Pont - autopont;Sur chaussée;1983,2014,1981,1987;Masculin,Masculin,Masculin,Masculin;Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant;Indemne,Blessé,Indemne,Indemne;Ceinture,Dispositif enfants,Ceinture,Ceinture;Oui,Oui,Oui,Oui;;A01,C01,B01;1,2,1,1;Conducteur,Passager,Conducteur,Conducteur;;Domicile – travail;Avant,Arrière,Arrière;Sans changement de direction,Arrêté (hors stationnement),Arrêté (hors stationnement);;Véhicule,Véhicule,Véhicule;;VU seul 1,VL seul,VL seul;;Métropole
201500024837;2015-05-13T14:30:00+02:00;Saint-jacques-de-la-lande;15;05;13;14:30;Plein jour;En agglomération;Hors intersection;Normale;Deux véhicules – par l’arrière;35;281;35281;258 ter, NANTES (RUE DE);4809196;-169176;35136;258;48.091718, -1.692021;12;normale;;Bidirectionnelle;;99;837;0;;0;2;Route Départementale;70;Partie rectiligne;Plat;;Sur trottoir;2000;Féminin;Se déplaçant;Blessé;Ceinture;Oui;;Z01,C01;2;Passager;;Domicile – école;Avant,Arrière;En stationnement (avec occupants);PK ou PR ou numéro d’adresse postale croissant;;Véhicule en stationnement;VL seul,VL seul;;Métropole
201500024864;2015-03-14T19:10:00+01:00;Rennes;15;03;14;19:10;Nuit avec éclairage public allumé;En agglomération;Hors intersection;Temps couvert;Deux véhicules – par le coté;35;238;35238;18, RUE D'ISLY;4810570;-167765;35000;18;48.105085, -1.678391;;normale;;A chaussées séparées;Banque cyclable;99;;0;;0;2;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;1994;Masculin;Se déplaçant;Blessé;;;;A01,B01;1;Conducteur;;Promenade – loisirs;Avant;Tournant A droite,Sans changement de direction;PK ou PR ou numéro d’adresse postale croissant;Véhicule,Véhicule;;VL seul,Bicyclette;;Métropole
201500024883;2015-03-25T07:55:00+01:00;Rennes;15;03;25;07:55;Plein jour;En agglomération;Intersection en T;Normale;Autre collision;35;238;35238;KLÉBER/VIARMES;4811060;-167169;35000;;48.111335, -1.67135;;normale;;Bidirectionnelle;;99;;0;;0;2;Voie Communale;;Partie rectiligne;Plat;Carrefour aménagé;Sur chaussée;1998,1970;Féminin,Féminin;Se déplaçant,Se déplaçant;Blessé,Indemne;Casque,Ceinture;Oui,Oui;;B01,A01;1,1;Conducteur,Conducteur;;Domicile – école,Domicile – travail;Avant droit,Avant;Tournant A droite,Sans changement de direction;;Véhicule,Véhicule;;VL seul,Scooter < 50 cm3;;Métropole
201500024887;2015-03-26T23:45:00+01:00;Rennes;15;03;26;23:45;Nuit avec éclairage public allumé;En agglomération;Intersection en X;Normale;Deux véhicules – par le coté;35;238;35238;L.BOURGEOIS/CHÂTEAUGIRON;4810040;-164993;35000;;48.099655, -1.649027;;normale;;Bidirectionnelle;Banque cyclable;99;;0;;0;2;Voie Communale;;Partie rectiligne;Plat;Carrefour aménagé;Sur chaussée;1982,1996;Masculin,Féminin;Se déplaçant,Se déplaçant;Blessé,Indemne;Ceinture,Ceinture;Oui,Oui;;A01,B01;1,1;Conducteur,Conducteur;;Promenade – loisirs,Promenade – loisirs;Avant droit,Avant;Tournant A gauche,Sans changement de direction;;Véhicule,Véhicule;;VL seul,VL seul;;Métropole
201500024892;2015-06-18T08:30:00+02:00;Rennes;15;06;18;08:30;Plein jour;En agglomération;Hors intersection;Normale;Deux véhicules - frontale;35;238;35238;00, CHATEAUGIRON (DE);4809757;-164255;35000;00;48.099655, -1.649027;;normale;;Bidirectionnelle;;00;0;0;;0;2;Voie Communale;;;Sommet de côte;;Sur chaussée;1971,1958;Masculin,Masculin;Se déplaçant,Se déplaçant;Blessé,Indemne;Ceinture,Ceinture;Oui,Oui;;B01,A01;1,1;Conducteur,Conducteur;;Domicile – travail,Utilisation professionnelle;Arrière,Avant;Même sens,Même sens;;Véhicule,Véhicule;;VL seul,VL seul;;Métropole
201500024927;2015-07-09T15:15:00+02:00;Saint-jacques-de-la-lande;15;07;09;15:15;Plein jour;En agglomération;Intersection en X;Normale;Deux véhicules – par le coté;35;281;35281;00, MERMOZ (BOULEVARD JE;4809638;-169262;35136;00;48.095518, -1.694817;21;normale;;Bidirectionnelle;Banque cyclable;99;177;0;;0;2;Route Départementale;300;Partie rectiligne;Plat;Carrefour aménagé;Sur chaussée;1985,1980;Masculin,Féminin;Se déplaçant,Se déplaçant;Blessé,Indemne;Casque,Ceinture;Oui,Oui;;B01,A01;1,1;Conducteur,Conducteur;;Promenade – loisirs;Avant,Avant;Sans changement de direction,Tournant A gauche;;Véhicule,Véhicule;;Scooter < 50 cm3,VL seul;;Métropole
201500024978;2015-08-17T16:00:00+02:00;Rennes;15;08;17;16:00;Plein jour;En agglomération;Hors intersection;Normale;Deux véhicules – par l’arrière;35;238;35238;100, MITTERAND (MAIL FRA;4810861;-169617;35000;100;48.108569, -1.696112;;normale;;Bidirectionnelle;;00;0;0;;0;;Voie Communale;;En courbe à droite;Plat;;Sur chaussée;1992,1968;Masculin,Masculin;Se déplaçant,Se déplaçant;Blessé,Indemne;Ceinture,Ceinture;Oui,Oui;;A01,B01;1,1;Conducteur,Conducteur;;Promenade – loisirs;Avant,Arrière;Même sens,Arrêté (hors stationnement);;Véhicule,Véhicule;;"Voiturette (Quadricycle à moteur carrossé) (anciennement ""voiturette ou tricycle à moteur""),VL seul";;Métropole
201500024986;2015-08-24T18:50:00+02:00;Cesson-sevigne;15;08;24;18:50;Plein jour;Hors agglomération;Hors intersection;Pluie légère;Autre collision;35;051;35051;PORTE DE TIZE;4813994;-158131;35510;;48.1306, -1.583094;27;mouillée;;A chaussées séparées;;00;136;60;;0;0;Route Nationale;900;En courbe à gauche;Plat;;Sur chaussée;1982;Masculin;Se déplaçant;Blessé;Ceinture;Oui;;A01;1;Conducteur;;;Avant;Sans changement de direction;;;Glissière métallique;VL seul;;Métropole
201500025015;2015-09-19T17:40:00+02:00;Rennes;15;09;19;17:40;Plein jour;En agglomération;Intersection en T;Normale;Autre collision;35;238;35238;238, SAINT-MALO (RUE DE);4812579;-168561;35000;238;48.125771, -1.685531;;normale;;A sens unique;;99;0;0;;0;1;Voie Communale;;Partie rectiligne;Plat;Carrefour aménagé;Sur chaussée;1952,1986;Masculin,Masculin;Autre,Se déplaçant;Blessé,Indemne;Ceinture;Oui;Sur trottoir;A01;1;Piéton,Conducteur;Accompagné;Promenade – loisirs,Promenade – loisirs;Avant droit;Sans changement de direction;;Piéton;Véhicule en stationnement;VL seul;;Métropole
201500025062;2015-10-24T21:45:00+02:00;Cesson-sevigne;15;10;24;21:45;Nuit sans éclairage public;Hors agglomération;Intersection en X;Temps couvert;Sans collision;35;051;35051;00, PLANCHETTE (ROUTE DE;4809949;-160539;35510;00;48.099708, -1.602708;6;mouillée;;Bidirectionnelle;;00;86;0;;0;2;Route Départementale;770;;;;Sur chaussée;1958;Masculin;Se déplaçant;Blessé;Ceinture;Oui;;A01;1;Conducteur;;Autre;Chocs multiples (tonneaux);Sans changement de direction;;;Sortie de chaussée sans obstacle;VL seul;;Métropole
201500025106;2015-11-07T17:40:00+01:00;Rennes;15;11;07;17:40;Crépuscule ou aube;Hors agglomération;Hors intersection;Normale;Deux véhicules – par le coté;35;238;35238;00, STRASBOURG (BOULEVAR;4811036;-165565;35000;00;48.11261, -1.65646;;normale;;;;00;0;0;;0;0;Voie Communale;;Partie rectiligne;Plat;;;1992,1961;Masculin,Masculin;Se déplaçant,Se déplaçant;Blessé,Indemne;Casque,Ceinture;Non,Oui;;A01,B01;1,1;Conducteur,Conducteur;;Autre;Avant gauche;Sans changement de direction;;Véhicule,Véhicule;;Bicyclette,VU seul 1;;Métropole
201500025120;2015-11-30T09:10:00+01:00;Rennes;15;11;30;09:10;Plein jour;En agglomération;Hors intersection;Pluie légère;Autre collision;35;238;35238;201, VERN (DE);4808875;-164458;35000;201;48.088692, -1.644567;;mouillée;;Bidirectionnelle;Piste cyclable;99;0;40;;0;4;Voie Communale;;Partie rectiligne;Sommet de côte;;Sur chaussée;1960,1999,1970;Féminin,Masculin,Féminin;Se déplaçant,Se déplaçant,Se déplaçant;Blessé,Indemne,Indemne;Autre,Ceinture,Ceinture;Non déterminable,Oui,Oui;;B01,A01;1,2,1;Conducteur,Passager,Conducteur;;Promenade – loisirs,Domicile – école,Domicile – travail;Avant,Côté droit;Sans changement de direction,Ouverture de porte;;Véhicule,Véhicule;;Bicyclette,VL seul;;Métropole
201500025132;2015-11-26T09:30:00+01:00;Rennes;15;11;26;09:30;Plein jour;En agglomération;Intersection en T;Normale;Deux véhicules - frontale;35;238;35238;00, SUISSE (DE);4808652;-166377;35000;00;48.102579, -1.704318;;;;Bidirectionnelle;;03;;;;;2;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;1992,1992;Masculin,Féminin;Se déplaçant,Se déplaçant;Indemne,Blessé;Ceinture,Ceinture;Oui,Oui;;A01,B01;1,1;Conducteur,Conducteur;;;Avant gauche,Avant;Sans changement de direction;;Véhicule,Véhicule;;VL seul,VL seul;;Métropole
201500024997;2015-09-01T18:05:00+02:00;Rennes;15;09;01;18:05;Plein jour;En agglomération;Giratoire;Normale;Deux véhicules - frontale;35;238;35238;00, SANGNIER (MARC);4809336;-165840;35000;00;48.09313, -1.659168;;normale;;;;03;0;0;;0;0;Voie Communale;;;Plat;Carrefour aménagé;;1971,1996;Masculin,Masculin;Se déplaçant,Se déplaçant;Blessé,Indemne;Ceinture,Ceinture;Oui,Oui;;B01,A01;1,1;Conducteur,Conducteur;;;Avant gauche;Tournant A gauche;;Véhicule,Véhicule;;VL seul,VL seul;;Métropole
201500025013;2015-09-17T00:40:00+02:00;Cesson-sevigne;15;09;17;00:40;Nuit sans éclairage public;Hors agglomération;Autre intersection;Normale;Sans collision;35;051;35051;NORMANDIE (PORTE DE);4814911;-160926;35510;;48.140179, -1.598291;25;mouillée;;A sens unique;;99;136;0;;0;2;Route Nationale;423;En courbe à droite;Pente;Bretelle d’échangeur ou de raccordement;Sur chaussée;1995,1995;Masculin,Masculin;Se déplaçant,Se déplaçant;Blessé,Blessé;Ceinture,Ceinture;Oui,Non;;A01;2,1;Passager,Conducteur;;Promenade – loisirs,Promenade – loisirs;Chocs multiples (tonneaux);Sans changement de direction;;;Sortie de chaussée sans obstacle;VL seul;;Métropole
201500025073;2015-11-02T09:20:00+01:00;Rennes;15;11;02;09:20;Plein jour;En agglomération;Hors intersection;Normale;Autre collision;35;238;35238;18, DUGUAY TROUIN (QUAI);4811016;-168238;35000;18;48.110208, -1.6824;;normale;;A sens unique;Piste cyclable;99;0;0;;0;1;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;1962;Féminin;Se déplaçant;Blessé;Casque;Oui;;A01;1;Conducteur;;Domicile – travail;;;;;Sortie de chaussée sans obstacle;Scooter < 50 cm3;;Métropole
