Identifiant de l'accident;Date et heure;Commune;Année;Mois;Jour;Heure minute;Lumière;Localisation;Intersection;Conditions atmosphériques;Collision;Département;Code commune;Code Insee;Adresse;Latitude;Longitude;Code Postal;Numéro;Coordonnées;PR;Surface;V1;Circulation;Voie réservée;Env1;Voie;Largeur de la chaussée;V2;Largeur terre plein central;Nombre de voies;Catégorie route;PR1;Plan;Profil;Infrastructure;Situation;Année de naissance;Sexe;Action piéton;Gravité;Existence équipement de sécurité;Utilisation équipement de sécurité;Localisation du piéton;Identifiant véhicule;Place;Catégorie d'usager;Piéton seul ou non;Motif trajet;Point de choc;Manœuvre;Sens;Obstacle mobile heurté;Obstacle fixe heurté;Catégorie véhicule;Nombre d'occupants;Gps
201500024979;2015-05-20T12:00:00+02:00;Rennes;15;05;20;12:00;Plein jour;En agglomération;Hors intersection;Pluie légère;Deux véhicules - frontale;35;238;35238;PORTE DE NANTES;4807760;-167530;35000;;48.094819, -1.689784;43;mouillée;;A chaussées séparées;;99;137;0;;0;0;Route Nationale;0;Partie rectiligne;Plat;;Sur chaussée;1960,1925;Masculin,Masculin;Se déplaçant,Se déplaçant;Indemne,Blessé;Ceinture,Ceinture;Oui,Oui;;B01,A01;1,1;Conducteur,Conducteur;;Utilisation professionnelle,Promenade – loisirs;Avant droit,Avant;Manœuvre d’évitement,A contresens;;Véhicule,Véhicule;;VU seul 1,VL seul;;Métropole
201500024996;2015-08-27T19:45:00+02:00;Rennes;15;08;27;19:45;Plein jour;Hors agglomération;Hors intersection;Pluie légère;Deux véhicules - frontale;35;238;35238;00, VERN (DE);4808361;-164284;35000;00;48.099464, -1.692731;34;mouillée;;Bidirectionnelle;;99;163;0;;0;3;Route Départementale;150;Partie rectiligne;Plat;Pont - autopont;Sur chaussée;1989,1993;Masculin,Masculin;Se déplaçant,Se déplaçant;Blessé,Blessé;Ceinture,Ceinture;Oui,Oui;;A01,B01;1,1;Conducteur,Conducteur;;;Avant,Avant;Sans changement de direction,Sans changement de direction;;Véhicule,Véhicule;Glissière béton;VL seul,VL seul;;Métropole
201500025003;2015-09-07T13:00:00+02:00;Rennes;15;09;07;13:00;Plein jour;En agglomération;Hors intersection;Normale;Deux véhicules – par le coté;35;238;35238;71, BRIAND (AVENUE ARIST;4811009;-166371;35000;71;48.11035, -1.663751;;normale;;Bidirectionnelle;Voie réservée;99;0;0;;0;2;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;1995,1964;Masculin,Féminin;Se déplaçant,Se déplaçant;Blessé,Indemne;Autre,Ceinture;Non,Oui;;A01,B01;1,1;Conducteur,Conducteur;;Domicile – école,Utilisation professionnelle;Avant,Avant droit;En s’insérant,Sans changement de direction;;Véhicule,Véhicule;;Bicyclette,Autobus;1;Métropole
201500025163;2015-12-18T19:10:00+01:00;Rennes;15;12;18;19:10;Nuit avec éclairage public allumé;En agglomération;Hors intersection;Normale;Autre collision;35;238;35238;10, BERT (PAUL);4811066;-167045;35000;10;48.110618, -1.670689;;normale;;A sens unique;;99;0;0;;0;1;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;1958;Masculin;Se déplaçant;Blessé;Ceinture;Oui;;A01;1;Conducteur;;;Avant;Sans changement de direction;;;Véhicule en stationnement;VU seul 1;;Métropole
201500000840;2015-10-31T18:15:00+01:00;Romille;15;10;31;18:15;Nuit avec éclairage public allumé;En agglomération;Hors intersection;Normale;Deux véhicules – par le coté;35;245;35245;RUE DE GALERNE;4821857;-189307;35850;;48.2197, -1.893851;12;normale;;Bidirectionnelle;;99;68;58;;0;2;Route Départementale;40;Partie rectiligne;Plat;;Sur chaussée;1966,2000;Féminin,Masculin;Se déplaçant,Se déplaçant;Indemne,Blessé;Ceinture,Casque;Oui,Oui;;A01,B02;1,1;Conducteur,Conducteur;;Utilisation professionnelle,Promenade – loisirs;Avant,Avant gauche;Dépassant A gauche,Tournant A gauche;;Véhicule,Véhicule;;Scooter < 50 cm3,VL seul;;Métropole
201500000857;2015-11-01T12:30:00+01:00;Mordelles;15;11;01;12:30;Plein jour;En agglomération;Intersection en X;Normale;Deux véhicules – par le coté;35;196;35196;Crfour Pompidou fontenel;4807840;-184384;35310;;48.076991, -1.844331;;normale;;Bidirectionnelle;;99;0;59;;0;2;Voie Communale;;Partie rectiligne;Plat;Carrefour aménagé;Sur chaussée;1931,1956;Masculin,Féminin;Se déplaçant,Se déplaçant;Indemne,Blessé;Ceinture,Equipement réfléchissant;Oui,Oui;;A01,B02;1,1;Conducteur,Conducteur;;Promenade – loisirs,Courses – achats;Avant,Arrière droit;Tournant A droite,Sans changement de direction;;Véhicule,Véhicule;;VL seul,Bicyclette;;Métropole
201500015495;2015-11-13T01:45:00+01:00;;15;11;13;01:45;Nuit avec éclairage public allumé;En agglomération;Hors intersection;Normale;Autre collision;13;055;13055;00, CAMILLE PELLETAN (AV;4330334;0537389;;00;48.097111, -1.651398;;normale;;Bidirectionnelle;;99;0;25;;5;1;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;1979;Masculin;Autre;Blessé;;;Sur chaussée - A – 50 m du passage piéton;A01;;Piéton;Seul;;Arrière;En marche arrière;PK ou PR ou numéro d’adresse postale croissant;Piéton;;VL seul;;Métropole
201500019074;2015-06-20T14:15:00+02:00;Betton;15;06;20;14:15;Plein jour;Hors agglomération;Hors intersection;Normale;Deux véhicules - frontale;35;024;35024;rue Gabares;4818900;-164400;35830;;48.193673, -1.626868;;normale;;Bidirectionnelle;;99;0;0;;57;0;Voie Communale;;Partie rectiligne;Sommet de côte;;Sur chaussée;1965,1996;Féminin,Masculin;Se déplaçant,Se déplaçant;Indemne,Blessé;Ceinture,Casque;Oui,Oui;;A01,B02;1,1;Conducteur,Conducteur;;Utilisation professionnelle,Promenade – loisirs;Avant,Avant;A contresens,Sans changement de direction;;Véhicule,Véhicule;;Cyclomoteur <50cm3,Autobus;;Métropole
201500024873;2015-03-20T17:25:00+01:00;Rennes;15;03;20;17:25;Plein jour;En agglomération;Giratoire;Pluie légère;Trois véhicules et plus – en chaîne;35;238;35238;PORTE D'ALMA;4808120;-167506;35000;;48.098565, -1.675594;43;mouillée;;A chaussées séparées;;99;137;0;;0;2;Route Nationale;380;En courbe à droite;Plat;Carrefour aménagé;Sur chaussée;1982,1990,1988;Féminin,Féminin,Féminin;Se déplaçant,Se déplaçant,Se déplaçant;Blessé,Blessé,Indemne;Ceinture,Ceinture,Ceinture;Oui,Oui,Oui;;B01,C01,A01;1,1,1;Conducteur,Conducteur,Conducteur;;Promenade – loisirs,Domicile – travail,Promenade – loisirs;Arrière,Arrière gauche,Avant;Arrêté (hors stationnement),Arrêté (hors stationnement),Même sens;;Véhicule,Véhicule,Véhicule;;VL seul,VL seul,VL seul;;Métropole
201500024874;2015-06-12T09:00:00+02:00;Rennes;15;06;12;09:00;Plein jour;En agglomération;Hors intersection;Normale;Sans collision;35;238;35238;00, BOSPHORE (DU);4808369;-167688;35000;00;48.082893, -1.678413;;mouillée;;A sens unique;;00;0;0;;0;2;Voie Communale;;En courbe à gauche;Plat;;Sur chaussée;1992;Féminin;Se déplaçant;Blessé;Ceinture;Oui;;A01;1;Conducteur;;Domicile – travail;Avant;Sans changement de direction;;;Autre obstacle fixe sur trottoir ou accotement;VL seul;;Métropole
201500024882;2015-06-13T10:45:00+02:00;Rennes;15;06;13;10:45;Plein jour;Hors agglomération;Hors intersection;Normale;Trois véhicules et plus – en chaîne;35;238;35238;RN136;4814136;-167858;35000;136;48.111214, -1.696433;20;normale;;A chaussées séparées;;99;136;0;;0;2;Route Nationale;0;Partie rectiligne;Plat;;Sur chaussée;1988,1981,1982,1972;Féminin,Masculin,Masculin,Masculin;Se déplaçant,Se déplaçant,Se déplaçant,Se déplaçant;Blessé,Indemne,Indemne,Indemne;Ceinture,Ceinture,Ceinture,Ceinture;Oui,Oui,Oui,Oui;;C01,A01,B01;2,1,1,1;Passager,Conducteur,Conducteur,Conducteur;;Promenade – loisirs,Promenade – loisirs,Promenade – loisirs,Promenade – loisirs;Arrière gauche,Avant,Avant gauche;Même sens,Même sens,Même sens;;Véhicule,Véhicule,Véhicule;Glissière métallique;VL seul,VL seul,VL seul;;Métropole
201500024890;2015-06-16T16:30:00+02:00;Rennes;15;06;16;16:30;Plein jour;En agglomération;Hors intersection;Normale;Autre collision;35;238;35238;33, ANTRAIN (D') DE 0 A;4811621;-167874;35000;33;48.1175, -1.677506;;normale;;Bidirectionnelle;;99;4;0;;0;2;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;1987,2000;Masculin,Masculin;Se déplaçant,Jouant – courant;Indemne,Blessé;Casque;Oui;Sur chaussée - A + 50 m du passage piéton;A01;1;Conducteur,Piéton;Seul;Domicile – travail,Domicile – école;Avant;Manœuvre d’évitement;;Piéton;;Motocyclette > 125 cm3;;Métropole
201500024931;2015-07-10T18:45:00+02:00;Chantepie;15;07;10;18:45;Plein jour;En agglomération;Intersection en T;Normale;Trois véhicules et plus - collisions multiples;35;055;35055;113, MOZART (RUE DE);4808694;-160910;35135;113;48.086657, -1.609575;;normale;;Bidirectionnelle;;00;86;0;;0;2;Route Départementale;;Partie rectiligne;Plat;;Sur chaussée;1991,1962,1986;Masculin,Féminin,Féminin;Se déplaçant,Se déplaçant,Se déplaçant;Blessé,Indemne,Indemne;Ceinture,Ceinture,Ceinture;Oui,Oui,Oui;;C01,B01,A01;1,1,1;Conducteur,Conducteur,Conducteur;;Autre,Promenade – loisirs,Promenade – loisirs;Arrière,Arrière,Avant;Arrêté (hors stationnement),Arrêté (hors stationnement),Même sens;;Véhicule,Véhicule,Véhicule;;VL seul,VL seul,VL seul;;Métropole
201500024985;2015-08-21T18:25:00+02:00;Rennes;15;08;21;18:25;Plein jour;Hors agglomération;Hors intersection;Normale;Autre collision;35;238;35238;PORTE DE VILLEJEAN;4812446;-171492;35000;;48.12177, -1.70417;;normale;;A chaussées séparées;;99;;0;;0;1;Voie Communale;;En courbe à droite;Pente;Bretelle d’échangeur ou de raccordement;Sur chaussée;1994;Masculin;Se déplaçant;Blessé;Ceinture;Oui;;A01;1;Conducteur;;;;;;;;VL seul;;Métropole
