Produit;Type of Food (100g);Energy (Kcal);Protein (g);Fat (g);Water (g);Vitamin A (mg);Vitamin B1 (mg);Vitamin B2 (mg);Vitamin C;
P99;Carrots, boiled;20;0,6;0;92;12000;0,05;0,04;4;
P100;Carrots, raw;25;0,7;0;90;12000;0,06;0,05;5;
P101;Cauliflower cheese;100;6;8;78;100;0,06;0,15;5;
P102;Cauliflower, boiled;10;1,5;0;95;5;0,06;0,06;20;
P103;Cauliflower, raw;15;2;0;93;5;0,1;0,1;60;
P104;Celeriac, boiled;15;1,5;0;90;0;0,04;0,04;4;
P105;Celery, boiled;5;0,6;0;96;0;0;0;5;
P106;Celery, raw;10;1;0;94;0;0,03;0,03;7;
P107;Chapatis, made with fat;340;8;13;29;0;0,25;0,05;0;
P108;Chapatis, made without fat;200;7;1;46;0;0,23;0,04;0;
P109;Cheese, Camembert, soft type;300;23;23;48;250;0,05;0,6;0;
P110;Cheese, cheddar, hard type;400;26;34;37;400;0,04;0,5;0;
P111;Cheese, cottage;100;14;0,5;79;30;0;0,2;0;
P112;Cheese, cream;440;3;47;45;450;0;0,15;0;
P113;Cheese, Danish blue;360;23;29;40;300;0,03;0,6;0;
P114;Cheese, Edam;300;24;23;44;300;0,04;0,4;0;
P115;Cheese, Parmesan;400;35;30;28;400;0;0,5;0;
P116;Cheese, processed;300;22;25;43;250;0;0,3;0;
P117;Cheese, Stilton;460;26;40;28;450;0,07;0,3;0;
P118;Cherries;40;0,5;0;70;15;0,04;0,06;5;
P119;Cherries, glace;200;0;0;44;0;0;0;0;
P120;Chestnuts;170;2;2,7;50;0;0,2;0,2;0;
P121;Chicken, boiled, boned;180;29;7;63;0;0,06;0,2;0;
P122;Chicken, raw (meat and skin);230;18;18;64;0;0,1;0,1;0;
P123;Chicken, raw, boned;120;21;4;74;0;0,1;0,2;0;
P124;Chicken, roast, (meat and skin);220;23;14;62;0;0,1;0,2;0;
P125;Chicken, roast, boned;150;25;5;68;0;0,1;0,2;0;
P126;Chicory;10;0,8;0;96;0;0,05;0,05;4;
P127;Chocolate, milk;530;8;30;2;0;0,1;0,2;0;
P128;Chocolate, plain;530;5;29;1;0;0,1;0,1;0;
P129;Christmas pudding;300;5;12;39;20;0,1;0,1;0;
P130;Cider, dry;35;0;0;100;0;0;0;0;
P131;Cider, sweet;40;0;0;100;0;0;0;0;
P132;Cockles, boiled;50;11;0,3;79;0;0;0;0;
P133;Cocoa powder;300;19;22;3;0;0,2;0,06;0;
P134;Coconut;350;3;36;42;0;0;0;0;
P135;Coconut, desiccated;600;6;62;2;0;0,06;0,04;0;
P136;Cod fillet, baked;100;21;1,2;77;0;0,1;0,1;0;
P137;Cod fillet, fried;200;20;10;61;0;0,1;0,1;0;
P138;Cod fillet, fried;170;21;8;65;0;0,1;0,1;0;
P139;Cod fillet, grilled;100;21;1,3;78;0;0,1;0,1;0;
P140;Cod fillet, poached;90;21;1;78;0;0,1;0,1;0;
P141;Cod fillet, steamed;80;19;1;79;0;0,1;0,1;0;
P142;Cod fillet, raw;80;17;0,7;82;0;0,1;0,1;0;
P143;Cornflakes;350;350;8;0,5;3;0;1;1,5;0
P144;Cornflour;350;0,6;0,7;12;0;0;0;0;
P145;Cornish pastie;330;8;20;39;0;0,1;0,1;0;
P146;Crab, boiled;130;20;5;73;0;0,1;0,2;0;
P147;Crab, canned;80;18;1;79;0;0;0,1;0;
P148;Cranberries;15;0,5;0;87;0;0,03;0;10;
P149;Cream, double;450;1,5;48;48;400;0;0,1;0;
P150;Cream, single;200;2,4;21,2;72;250;0,03;0,1;0;
P151;Cream, sterilised;230;2,6;23;70;200;0;0,1;0;
P152;Cream, whipping;330;1,9;35;61,5;300;0;0,1;0;
P153;Crispbread, rye;320;9,5;2;6;0;0,3;0,15;0;
P154;Crispbread, wheat, starch reduced;390;45;7,5;5;0;0,15;0,1;0;
P155;Cucumber;10;0,6;0;96;0;0,04;0,04;8;
P156;Currants, dried;240;2;0;20;0;0,03;0,08;0;
P157;Custard, egg;120;6;6;77;60;0,05;0,3;0;
P158;Custard;120;4;4;75;40;0,05;0,2;0;
P159;Damsons;35;0,4;0;70;0;0,09;0,03;0;
P160;Dates, dried;210;2;0;12;0;0,06;0,03;0;
P161;Dogfish, fried;270;17;19;54;0;0,1;0,1;0;
P162;Drinking chocolate;370;6;6;2;0;0,06;0,04;0;
P163;Dripping;900;0;100;0;0;0;0;0;
P164;Duck, raw, (meat and skin);430;11;43;44;0;0,3;0,4;0;
P165;Duck, raw, boned;120;20;5;75;0;0,4;0,5;0;
P166;Duck, roast, (meat and skin);190;25;10;64;0;0,3;0,5;0;
P167;Dumpling;200;3;12;60;0;0;0;0;
P168;Eel, raw;170;17;11;71;1500;0,2;0,35;0;
P169;Eel, stewed;200;21;13;61;2000;0,1;0,4;0;
P170;Egg white;35;9;0;88,3;0;0;0,4;0;
P171;Egg yolk;340;16,1;30,5;51;400;0,3;0,5;0;
P172;Egg, dried;560;43,6;43,3;7;500;0,35;1,2;0;
P173;Egg, scrambled;250;10;23;62;150;0,1;0,3;0;
P174;Egg, whole, raw;150;12,3;10,9;74,8;140;0,1;0,5;0;
P175;Endive;12;2;0;94;400;0,06;0,1;10;
