Produit;Type of Food (100g);Energy (Kcal);Protein (g);Fat (g);Water (g);Vitamin A (mg);Vitamin B1 (mg);Vitamin B2 (mg);Vitamin C;
P271;Milk;65;3,3;3,8;87,6;50;0,05;0,2;1;
P272;Milk, skimmed;33;3,4;0,1;90;0;0,04;0,2;1;
P273;Milk, condensed, skimmed;270;9,9;0,3;27;0;0,1;0,6;2;
P274;Milk, dried, skimmed;355;36,4;1,3;4,1;0;0,4;1,6;6;
P275;Milk, dried, whole;490;26,3;26,3;2,9;350;0,3;1;10;
P276;Milk, evaporated, whole;160;8,6;9;68,6;100;0,06;0,5;0;
P277;Milk, goat's;70;3,3;4,5;87;40;0,04;0,15;0;
P278;Milk, human;70;1,3;4,1;87,1;60;0,02;0,03;4;
P279;Milk, condensed, whole, sweetened;320;8,3;9;25,8;100;0,1;0,5;2;
P280;Mincemeat;240;0;4;27;0;0;0;0;
P281;Muesli;370;13;7,5;6;0;0,3;0,3;0;
P282;Mushrooms, raw;15;2;0,6;92;0;0,1;0,4;3;
P283;Mushrooms, fried;210;2,2;22;64;0;0,07;0,4;0;
P284;Mussels, boiled;90;17;0;79;0;0;0;0;
P285;Mussels, raw;70;12;2;84;0;0;0;0;
P286;Mustard and cress;10;1,5;0;93;100;0;0;40;
P287;Nectarine;50;1;0;74;500;0;0,05;10;
P288;Oatmeal porridge;45;1,5;1;90;0;0,05;0;0;
P289;Oatmeal, raw;400;12;9;9;0;0,5;0,1;0;
P290;Oil, vegetable;900;0;100;0;0;0;0;0;
P291;Okra, raw;20;2;0;90;15;0,1;0,1;25;
P292;Olives, pickled;80;1;9;60;100;0;0;0;
P293;Omelette;200;11;16;69;200;0,1;0,3;0;
P294;Onions, boiled;10;0,6;0;97;0;0;0,04;5;
P295;Onions, fried;350;2;33;42;0;0;0;0;
P296;Onions, raw;25;1;0;93;0;0,03;0,05;10;
P297;Onions, spring;35;1;0;87;0;0,03;0,05;25;
P298;Orange juice;40;0,6;0;87;50;0,08;0;50;
P299;Oranges, peeled;35;1;0;85;50;0,1;0,03;50;
P300;Oxtail, stewed (with bones);90;12;5;21;0;0;0,1;0;
